donor	receiver	compound	rate	mass_rate	community	medium
Faecalibacterium_prausnitzii_A2_165	Collinsella_aerofaciens_ATCC_25986	M_ac__91__e__93__	0.007382592433995773	0.00043589704941360296	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Clostridium_hiranonis_TO_931_DSM_13275	M_co2__91__e__93__	0.009749926837741809	0.0004290894051655982	all	LB_extend
Prevotella_copri_CB7_DSM_18205	Eubacterium_rectale_ATCC_33656	M_nh4__91__e__93__	0.02227785604430107	0.000401854650683916	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_metala__91__e__93__	0.001760444870457776	0.00038780593589032484	all	LB_extend
Faecalibacterium_prausnitzii_A2_165	Collinsella_aerofaciens_ATCC_25986	M_hxan__91__e__93__	0.0028126651020013234	0.00038283550349803264	all	LB_extend
Bacteroides_uniformis_ATCC_8492	Eggerthella_lenta_DSM_2243	M_trp_L__91__e__93__	0.0018555652583962712	0.000378952258226401	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Eggerthella_lenta_DSM_2243	M_h2__91__e__93__	0.1869392211086931	0.0003768320819109036	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Prevotella_copri_CB7_DSM_18205	M_co2__91__e__93__	0.008438004152523845	0.0003713523437504982	all	LB_extend
Faecalibacterium_prausnitzii_A2_165	Eubacterium_rectale_ATCC_33656	M_nh4__91__e__93__	0.020467034043990973	0.00036919050019572233	all	LB_extend
environment	Eubacterium_rectale_ATCC_33656	M_metala__91__e__93__	0.0016621382266881273	0.0003661501029636102	all	LB_extend
Faecalibacterium_prausnitzii_A2_165	Eggerthella_lenta_DSM_2243	M_co2__91__e__93__	0.00805696731217873	0.0003545831029253299	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_pi__91__e__93__	0.0035371724896924085	0.00033949533953993457	all	LB_extend
environment	Bacteroides_uniformis_ATCC_8492	M_indole__91__e__93__	0.0028546535902816794	0.0003344158169328821	all	LB_extend
Eggerthella_lenta_DSM_2243	Faecalibacterium_prausnitzii_A2_165	M_h2o__91__e__93__	0.01814800296124819	0.0003269399029474784	all	LB_extend
Eubacterium_rectale_ATCC_33656	Bacteroides_uniformis_ATCC_8492	M_czp__91__e__93__	0.0010290060625331374	0.0003248683272071869	all	LB_extend
Bacteroides_uniformis_ATCC_8492	Eubacterium_rectale_ATCC_33656	M_7a_czp__91__e__93__	0.0010290060625331374	0.00029401563843425583	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Bacteroides_uniformis_ATCC_8492	M_lac_D__91__e__93__	0.002943367454622948	0.0002621651505097751	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_lanost__91__e__93__	0.0006103685795380936	0.00026045367256502945	all	LB_extend
Eggerthella_lenta_DSM_2243	Clostridium_hiranonis_TO_931_DSM_13275	M_pi__91__e__93__	0.002658481346498914	0.00025515917870002323	all	LB_extend
environment	Eubacterium_rectale_ATCC_33656	M_alathr__91__e__93__	0.001333921829486826	0.00025370726324199113	all	LB_extend
Clostridium_hiranonis_TO_931_DSM_13275	Collinsella_aerofaciens_ATCC_25986	M_nh4__91__e__93__	0.013968069967689413	0.0002519602364981719	all	LB_extend
Eggerthella_lenta_DSM_2243	Bacteroides_ovatus_ATCC_8483	M_h2o__91__e__93__	0.013778907200174	0.0002482297689925747	all	LB_extend
Bacteroides_ovatus_ATCC_8483	Bacteroides_thetaiotaomicron_VPI_5482	M_ac__91__e__93__	0.0041004401423334995	0.00024210597771992485	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Eubacterium_rectale_ATCC_33656	M_leu_L__91__e__93__	0.0017714713076297894	0.00023236814295293776	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Clostridium_hiranonis_TO_931_DSM_13275	M_h2o__91__e__93__	0.012888468027808605	0.0002321883292145776	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Blautia_hydrogenotrophica_DSM_10507	M_h__91__e__93__	0.22449874142228293	0.00022627228147951896	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_ribflv__91__e__93__	0.0005986564448247576	0.00022531219540922474	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_cgly__91__e__93__	0.0012310044064021526	0.0002193761873609618	all	LB_extend
Bacteroides_ovatus_ATCC_8483	Blautia_hydrogenotrophica_DSM_10507	M_for__91__e__93__	0.004841551311863276	0.00021795405202667384	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Clostridium_hiranonis_TO_931_DSM_13275	M_glu_L__91__e__93__	0.0013854011185966866	0.0002024361968504664	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_nmn__91__e__93__	0.0005986564448242452	0.00019947873303939807	all	LB_extend
environment	Eubacterium_rectale_ATCC_33656	M_lys_L__91__e__93__	0.0013316716324166865	0.0001960152727664109	all	LB_extend
environment	Eubacterium_rectale_ATCC_33656	M_ile_L__91__e__93__	0.0014545770665267512	0.0001908003648012736	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_ribflv__91__e__93__	0.0004640323836145498	0.00017464466639756116	all	LB_extend
environment	Clostridium_hiranonis_TO_931_DSM_13275	M_dad_2__91__e__93__	0.0006856948981536354	0.0001722749461849768	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_arg_L__91__e__93__	0.00097363917455906	0.00017058966458789612	all	LB_extend
Eggerthella_lenta_DSM_2243	Bacteroides_thetaiotaomicron_VPI_5482	M_pi__91__e__93__	0.0017680322358845284	0.00016969449637763194	all	LB_extend
Faecalibacterium_prausnitzii_A2_165	Eubacterium_rectale_ATCC_33656	M_ser_L__91__e__93__	0.0015711075906535198	0.00016511131024923688	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_fol__91__e__93__	0.0003651809980058505	0.00016082162149459888	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Bacteroides_thetaiotaomicron_VPI_5482	M_leu_L__91__e__93__	0.0012015071540206616	0.0001576045770100598	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Collinsella_aerofaciens_ATCC_25986	M_h__91__e__93__	0.14997114938193956	0.0001511559214620569	all	LB_extend
Bacteroides_uniformis_ATCC_8492	Collinsella_aerofaciens_ATCC_25986	M_trp_L__91__e__93__	0.0007338682343340771	0.0001498740199964066	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Bacteroides_thetaiotaomicron_VPI_5482	M_nzp__91__e__93__	0.0005283820056671705	0.0001486157346913807	all	LB_extend
environment	Eubacterium_rectale_ATCC_33656	M_val_L__91__e__93__	0.001265931401690648	0.0001482986733893125	all	LB_extend
Eggerthella_lenta_DSM_2243	Prevotella_copri_CB7_DSM_18205	M_pi__91__e__93__	0.001500730957323748	0.0001440391067722632	all	LB_extend
environment	Bacteroides_uniformis_ATCC_8492	M_cytd__91__e__93__	0.0005657118678355563	0.00013759023421867943	all	LB_extend
environment	Collinsella_aerofaciens_ATCC_25986	M_ura__91__e__93__	0.001222179819322627	0.00013698998053648758	all	LB_extend
Prevotella_copri_CB7_DSM_18205	Clostridium_hiranonis_TO_931_DSM_13275	M_ins__91__e__93__	0.000506143433271225	0.0001357606260752343	all	LB_extend
